month,whatnot_share,top5_share,hhi
2022-06-01,1.2,88.7,1772
2022-07-01,1.5,94.7,2145
2022-08-01,0.7,97.1,3339
2022-09-01,1.0,95.7,2175
2022-10-01,2.0,94.8,2508
2022-11-01,1.5,93.6,2040
2022-12-01,2.3,92.5,1982
2023-01-01,3.4,92.2,2050
2023-02-01,1.7,94.1,2171
2023-03-01,2.5,92.4,2033
2023-04-01,1.4,93.7,2140
2023-05-01,2.1,92.3,2131
2023-06-01,1.9,91.0,1892
2023-07-01,2.8,85.9,1787
2023-08-01,1.4,89.6,1777
2023-09-01,1.7,88.3,1878
2023-10-01,2.5,88.7,2020
2023-11-01,1.5,89.1,2035
2023-12-01,1.9,89.5,2089
2024-01-01,1.5,92.6,2595
2024-02-01,1.0,93.6,2471
2024-03-01,2.1,92.6,1994
2024-04-01,2.1,93.8,2164
2024-05-01,1.2,92.0,2196
2024-06-01,1.1,91.7,2029
2024-07-01,1.8,90.2,2000
2024-08-01,2.3,90.8,2066
2024-09-01,1.6,93.8,2214
2024-10-01,2.5,93.0,2256
2024-11-01,4.6,88.4,2045
2024-12-01,6.1,87.0,1962
2025-01-01,2.9,94.0,5649
2025-02-01,4.0,92.4,1999
2025-03-01,3.4,91.5,1982
2025-04-01,3.1,90.6,1877
2025-05-01,2.5,90.9,1985
2025-06-01,2.3,89.8,1925
2025-07-01,4.2,85.7,1741
2025-08-01,2.4,87.6,1916
2025-09-01,3.2,87.3,1999
2025-10-01,3.5,90.3,2477
2025-11-01,3.9,86.9,2555
2025-12-01,4.1,86.3,2100
2026-01-01,5.8,86.0,1955
2026-02-01,7.5,82.8,2033
2026-03-01,6.2,85.5,2103
2026-04-01,7.7,83.7,1928
2026-05-01,7.8,87.3,2042
