qtype,month,searches,n
what,2022-06-01,2490,4
what,2022-07-01,2990,4
what,2022-08-01,2990,4
what,2022-09-01,3030,4
what,2022-10-01,3120,4
what,2022-11-01,2540,4
what,2022-12-01,2560,4
what,2023-01-01,3120,4
what,2023-02-01,2670,4
what,2023-03-01,3830,4
what,2023-04-01,3120,4
what,2023-05-01,2610,4
what,2023-06-01,3400,4
what,2023-07-01,3740,4
what,2023-08-01,4620,4
what,2023-09-01,3760,4
what,2023-10-01,3900,4
what,2023-11-01,4030,4
what,2023-12-01,3750,4
what,2024-01-01,4600,4
what,2024-02-01,4320,4
what,2024-03-01,4340,4
what,2024-04-01,4420,4
what,2024-05-01,4290,4
what,2024-06-01,4430,4
what,2024-07-01,5330,4
what,2024-08-01,5320,4
what,2024-09-01,5130,4
what,2024-10-01,5330,4
what,2024-11-01,5330,4
what,2024-12-01,6580,4
what,2025-01-01,8920,4
what,2025-02-01,8610,4
what,2025-03-01,10520,4
what,2025-04-01,12700,4
what,2025-05-01,12650,4
what,2025-06-01,15330,4
what,2025-07-01,18630,4
what,2025-08-01,22740,4
what,2025-09-01,22750,4
what,2025-10-01,18660,4
what,2025-11-01,18790,4
what,2025-12-01,22980,4
what,2026-01-01,27920,4
what,2026-02-01,27640,4
what,2026-03-01,27750,4
what,2026-04-01,27730,4
what,2026-05-01,27970,4
how,2022-06-01,1820,217
how,2022-07-01,1900,217
how,2022-08-01,2100,217
how,2022-09-01,2010,217
how,2022-10-01,2190,217
how,2022-11-01,2040,217
how,2022-12-01,1910,217
how,2023-01-01,2300,217
how,2023-02-01,2150,217
how,2023-03-01,2970,217
how,2023-04-01,5490,217
how,2023-05-01,8950,217
how,2023-06-01,18800,217
how,2023-07-01,36910,217
how,2023-08-01,50290,217
how,2023-09-01,46800,217
how,2023-10-01,43380,217
how,2023-11-01,42150,217
how,2023-12-01,37320,217
how,2024-01-01,50490,217
how,2024-02-01,40560,217
how,2024-03-01,37590,217
how,2024-04-01,35500,217
how,2024-05-01,37790,217
how,2024-06-01,42400,217
how,2024-07-01,44850,217
how,2024-08-01,38500,217
how,2024-09-01,37710,217
how,2024-10-01,36820,217
how,2024-11-01,44790,217
how,2024-12-01,40010,217
how,2025-01-01,38870,217
how,2025-02-01,27530,217
how,2025-03-01,32260,217
how,2025-04-01,29920,217
how,2025-05-01,29390,217
how,2025-06-01,31740,217
how,2025-07-01,34800,217
how,2025-08-01,30630,217
how,2025-09-01,28270,217
how,2025-10-01,30040,217
how,2025-11-01,32970,217
how,2025-12-01,32820,217
how,2026-01-01,36090,217
how,2026-02-01,27490,217
how,2026-03-01,31940,217
how,2026-04-01,30330,217
how,2026-05-01,30680,217
is/are,2022-06-01,1020,15
is/are,2022-07-01,1450,15
is/are,2022-08-01,1500,15
is/are,2022-09-01,1510,15
is/are,2022-10-01,1850,15
is/are,2022-11-01,1150,15
is/are,2022-12-01,1590,15
is/are,2023-01-01,1520,15
is/are,2023-02-01,1150,15
is/are,2023-03-01,1280,15
is/are,2023-04-01,1200,15
is/are,2023-05-01,1270,15
is/are,2023-06-01,1780,15
is/are,2023-07-01,2610,15
is/are,2023-08-01,6540,15
is/are,2023-09-01,12860,15
is/are,2023-10-01,17490,15
is/are,2023-11-01,33170,15
is/are,2023-12-01,23920,15
is/are,2024-01-01,27380,15
is/are,2024-02-01,20420,15
is/are,2024-03-01,19910,15
is/are,2024-04-01,22290,15
is/are,2024-05-01,23640,15
is/are,2024-06-01,19800,15
is/are,2024-07-01,16660,15
is/are,2024-08-01,10500,15
is/are,2024-09-01,11210,15
is/are,2024-10-01,12350,15
is/are,2024-11-01,17140,15
is/are,2024-12-01,15360,15
is/are,2025-01-01,12580,15
is/are,2025-02-01,13070,15
is/are,2025-03-01,16340,15
is/are,2025-04-01,15060,15
is/are,2025-05-01,14870,15
is/are,2025-06-01,16030,15
is/are,2025-07-01,20460,15
is/are,2025-08-01,21260,15
is/are,2025-09-01,22490,15
is/are,2025-10-01,25920,15
is/are,2025-11-01,25280,15
is/are,2025-12-01,28290,15
is/are,2026-01-01,29900,15
is/are,2026-02-01,23980,15
is/are,2026-03-01,27540,15
is/are,2026-04-01,31920,15
is/are,2026-05-01,31960,15
why,2022-06-01,10,6
why,2022-07-01,0,6
why,2022-08-01,20,6
why,2022-09-01,20,6
why,2022-10-01,30,6
why,2022-11-01,20,6
why,2022-12-01,20,6
why,2023-01-01,20,6
why,2023-02-01,20,6
why,2023-03-01,40,6
why,2023-04-01,40,6
why,2023-05-01,40,6
why,2023-06-01,60,6
why,2023-07-01,40,6
why,2023-08-01,70,6
why,2023-09-01,160,6
why,2023-10-01,320,6
why,2023-11-01,570,6
why,2023-12-01,430,6
why,2024-01-01,530,6
why,2024-02-01,440,6
why,2024-03-01,430,6
why,2024-04-01,430,6
why,2024-05-01,550,6
why,2024-06-01,470,6
why,2024-07-01,520,6
why,2024-08-01,370,6
why,2024-09-01,400,6
why,2024-10-01,400,6
why,2024-11-01,360,6
why,2024-12-01,380,6
why,2025-01-01,470,6
why,2025-02-01,270,6
why,2025-03-01,340,6
why,2025-04-01,290,6
why,2025-05-01,300,6
why,2025-06-01,230,6
why,2025-07-01,300,6
why,2025-08-01,230,6
why,2025-09-01,230,6
why,2025-10-01,240,6
why,2025-11-01,260,6
why,2025-12-01,260,6
why,2026-01-01,260,6
why,2026-02-01,200,6
why,2026-03-01,240,6
why,2026-04-01,220,6
why,2026-05-01,190,6
